id,fname,lname,email,division,department,status,employeeType,title,jobCode,manager
720,Marcus,Laird,Marcus.Laird@Training.com,,Accounting,active,,,,253
721,Louise,Schuster,Louise.Schuster@Training.com,,Production,active,,,,258
722,Gertrude,Kraft,Gertrude.Kraft@Training.com,,Sales,active,,,,259
723,Frances,Collins,Frances.Collins@Training.com,,Engineering,active,,,,260
724,Edward,Temple,Edward.Temple@Training.com,,IT,active,,,,263
725,Kenneth,Labbie,Kenneth.Labbie@Training.com,,Accounting,active,,,,267
726,Lisa,Rhodes,Lisa.Rhodes@Training.com,,Human Resources,active,,,,272
727,Jeanette,Aguiar,Jeanette.Aguiar@Training.com,,Engineering,inactive,,,,278
728,Laura,Guerrero,Laura.Guerrero@Training.com,,IT,active,,,,281
729,Charlie,Madden,Charlie.Madden@Training.com,,Accounting,active,,,,285
730,Frances,Leitheiser,Frances.Leitheiser@Training.com,,Human Resources,active,,,,290
731,Barry,Garneau,Barry.Garneau@Training.com,,Production,active,,,,296
732,Erica,Adair,Erica.Adair@Training.com,,Engineering,active,,,,302
733,Annette,Lopez,Annette.Lopez@Training.com,,Accounting,active,,,,307
734,Elsie,Ferebee,Elsie.Ferebee@Training.com,,Human Resources,active,,,,312
735,Harry,Sanders,Harry.Sanders@Training.com,,Production,active,,,,318
736,Lawerence,Felton,Lawerence.Felton@Training.com,,Engineering,active,,,,330
737,Larry,Hallam,Larry.Hallam@Training.com,,Human Resources,active,,,,333
738,Xavier,Reynolds,Xavier.Reynolds@Training.com,,Marketing,active,,,,334
739,Dorothy,Wyman,Dorothy.Wyman@Training.com,,Sales,active,,,,335
740,Fredrick,Saunders,Fredrick.Saunders@Training.com,,IT,active,,,,338
741,Regina,Ramirez,Regina.Ramirez@Training.com,,Accounting,active,,,,340
742,Johnny,Crawford,Johnny.Crawford@Training.com,,Production,active,,,,344
743,Linda,Parker,Linda.Parker@Training.com,,Sales,active,,,,345
744,Glenda,Mcmanis,Glenda.Mcmanis@Training.com,,Engineering,active,,,,346
745,Joseph,Emerson,Joseph.Emerson@Training.com,,IT,active,,,,349
746,Robert,Reeves,Robert.Reeves@Training.com,,Accounting,active,,,,353
747,Joey,Green,Joey.Green@Training.com,,Human Resources,active,,,,358
748,Lonnie,Pinon,Lonnie.Pinon@Training.com,,Engineering,active,,,,364
749,Frieda,Coward,Frieda.Coward@Training.com,,IT,active,,,,367
750,Tina,Berry,Tina.Berry@Training.com,,Accounting,active,,,,371
751,Susan,Johnson,Susan.Johnson@Training.com,,Human Resources,active,,,,376
752,Kathlyn,Westley,Kathlyn.Westley@Training.com,,Production,active,,,,382
753,Kristin,Hesson,Kristin.Hesson@Training.com,,Engineering,active,,,,388
754,David,Metcalf,David.Metcalf@Training.com,,Accounting,active,,,,393
755,Nicholas,Scott,Nicholas.Scott@Training.com,,Human Resources,active,,,,398
756,Harlan,Richardson,Harlan.Richardson@Training.com,,Production,active,,,,404
757,Gail,Pinheiro,Gail.Pinheiro@Training.com,,Human Resources,active,,,,420
758,Andrea,Abreu,Andrea.Abreu@Training.com,,Production,active,,,,426
759,Oscar,Wider,Oscar.Wider@Training.com,,Human Resources,active,,,,441
760,Nancy,Thacker,Nancy.Thacker@Training.com,,Marketing,active,,,,442
761,Sherry,Howell,Sherry.Howell@Training.com,,Sales,active,,,,443
762,Larry,Reader,Larry.Reader@Training.com,,IT,active,,,,445
763,Robert,Wells,Robert.Wells@Training.com,,Engineering,active,,,,449
764,Rick,Sparkman,Rick.Sparkman@Training.com,,IT,active,,,,452
765,Beverly,Mckamey,Beverly.Mckamey@Training.com,,Accounting,active,,,,456
766,Mary,Murray,Mary.Murray@Training.com,,Human Resources,active,,,,459
767,Lawrence,Motley,Lawrence.Motley@Training.com,,Engineering,active,,,,465
768,Richard,Francis,Richard.Francis@Training.com,,IT,active,,,,468
769,David,Lea,David.Lea@Training.com,,Accounting,active,,,,472
770,Opal,Silvestri,Opal.Silvestri@Training.com,,Human Resources,active,,,,477
771,Steven,Carson,Steven.Carson@Training.com,,Production,active,,,,483
772,Nathaniel,Rape,Nathaniel.Rape@Training.com,,Engineering,active,,,,489
773,Patricia,Gaines,Patricia.Gaines@Training.com,,Accounting,active,,,,494
774,Johnie,Toki,Johnie.Toki@Training.com,,Human Resources,active,,,,499
775,Loraine,Tapia,Loraine.Tapia@Training.com,,Production,active,,,,505
776,Barbara,Fullerton,Barbara.Fullerton@Training.com,,Human Resources,active,,,,521
777,Caroline,Melendez,Caroline.Melendez@Training.com,,Production,active,,,,527
778,Thomas,Roach,Thomas.Roach@Training.com,,Human Resources,active,,,,543
779,Margaret,Hurrington,Margaret.Hurrington@Training.com,,Production,active,,,,548
780,Michael,Kelley,Michael.Kelley@Training.com,,IT,active,,,,567
781,Megan,Franks,Megan.Franks@Training.com,,Human Resources,active,,,,572
782,Daniel,Chapman,Daniel.Chapman@Training.com,,Engineering,active,,,,586
783,Dollie,Lovelace,Dollie.Lovelace@Training.com,,Accounting,active,,,,591
784,Mona,Smith,Mona.Smith@Training.com,,Human Resources,active,,,,596
785,Lisa,Goode,Lisa.Goode@Training.com,,Production,inactive,,,,602
786,Benjamin,Backus,Benjamin.Backus@Training.com,,Human Resources,active,,,,618
787,Cameron,Walton,Cameron.Walton@Training.com,,Production,active,,,,624
788,Robbin,Blount,Robbin.Blount@Training.com,,Human Resources,active,,,,640
789,James,Leslie,James.Leslie@Training.com,,Production,active,,,,645
790,Rafael,Clowes,Rafael.Clowes@Training.com,,Human Resources,active,,,,662
791,Richard,Phipps,Richard.Phipps@Training.com,,Sales,active,,,,159
792,George,Swain,George.Swain@Training.com,,Engineering,active,,,,160
793,Emma,Burton,Emma.Burton@Training.com,,Marketing,active,,,,163
794,Yoshiko,Pollock,Yoshiko.Pollock@Training.com,,Human Resources,inactive,,,,173
795,Stephen,Esquilin,Stephen.Esquilin@Training.com,,Engineering,active,,,,191
796,Thomas,Cox,Thomas.Cox@Training.com,,IT,active,,,,194
797,Greg,Evans,Greg.Evans@Training.com,,Accounting,active,,,,198
798,Esteban,Martich,Esteban.Martich@Training.com,,Engineering,active,,,,209
799,Robert,Klemke,Robert.Klemke@Training.com,,Accounting,active,,,,216
800,Linda,Weems,Linda.Weems@Training.com,,Sales,active,,,,233
801,John,Starkey,John.Starkey@Training.com,,Engineering,active,,,,234
802,Susan,Baker,Susan.Baker@Training.com,,Marketing,active,,,,235
803,Michael,Fogle,Michael.Fogle@Training.com,,Sales,active,,,,236
804,Brett,Olson,Brett.Olson@Training.com,,Engineering,active,,,,238
805,Krystal,Washington,Krystal.Washington@Training.com,,Marketing,active,,,,243
806,Genevieve,Halpern,Genevieve.Halpern@Training.com,,Engineering,active,,,,246
807,Curtis,Hineline,Curtis.Hineline@Training.com,,Production,active,,,,258
808,Susan,Lagasse,Susan.Lagasse@Training.com,,Sales,active,,,,259
809,Linda,Wall,Linda.Wall@Training.com,,Engineering,active,,,,260
810,Mary,Beard,Mary.Beard@Training.com,,IT,active,,,,263
811,Larry,Garson,Larry.Garson@Training.com,,Human Resources,active,,,,272
812,Tina,Angell,Tina.Angell@Training.com,,Engineering,active,,,,278
813,Brittany,Mullenix,Brittany.Mullenix@Training.com,,Accounting,active,,,,285
814,Ashley,Adams,Ashley.Adams@Training.com,,Accounting,active,,,,307
815,Elizabeth,Tabron,Elizabeth.Tabron@Training.com,,Engineering,active,,,,330
816,Elizabeth,Dewitt,Elizabeth.Dewitt@Training.com,,Human Resources,active,,,,333
817,Cheryl,Glick,Cheryl.Glick@Training.com,,Marketing,active,,,,334
818,Helen,Dipietro,Helen.Dipietro@Training.com,,Sales,active,,,,335
819,Sandra,Vanner,Sandra.Vanner@Training.com,,IT,active,,,,338
820,Frank,Jimenez,Frank.Jimenez@Training.com,,Accounting,active,,,,340
821,Felicia,Fisher,Felicia.Fisher@Training.com,,Production,active,,,,344
822,Aaron,Espino,Aaron.Espino@Training.com,,Sales,active,,,,345
823,Donnell,Conner,Donnell.Conner@Training.com,,Engineering,active,,,,346
824,Nancy,Johnson,Nancy.Johnson@Training.com,,IT,active,,,,349
825,Erick,Grundhoefer,Erick.Grundhoefer@Training.com,,Accounting,active,,,,353
826,Deborah,Pax,Deborah.Pax@Training.com,,Human Resources,active,,,,358
827,Mathew,Keller,Mathew.Keller@Training.com,,Engineering,active,,,,364
828,Antonio,Durr,Antonio.Durr@Training.com,,IT,active,,,,367
829,Eduardo,Wescott,Eduardo.Wescott@Training.com,,Accounting,active,,,,371
830,Frank,Stumpff,Frank.Stumpff@Training.com,,Human Resources,active,,,,376
831,Elizabeth,West,Elizabeth.West@Training.com,,Production,active,,,,382
832,Joseph,Matheney,Joseph.Matheney@Training.com,,Engineering,active,,,,388
833,Cordie,Herndon,Cordie.Herndon@Training.com,,Accounting,active,,,,393
834,Lynn,Dillis,Lynn.Dillis@Training.com,,Human Resources,active,,,,398
835,Twila,Cartwright,Twila.Cartwright@Training.com,,Production,active,,,,404
836,Alma,Adleman,Alma.Adleman@Training.com,,Human Resources,active,,,,420
837,Wayne,Smith,Wayne.Smith@Training.com,,Production,active,,,,426
838,Nancy,Huff,Nancy.Huff@Training.com,,Human Resources,active,,,,441
839,Elizabeth,Tang,Elizabeth.Tang@Training.com,,Marketing,active,,,,442
840,Richard,Walton,Richard.Walton@Training.com,,Sales,active,,,,443
841,Marvin,Carson,Marvin.Carson@Training.com,,IT,active,,,,445
842,Lillian,Klein,Lillian.Klein@Training.com,,Engineering,active,,,,449
843,Paula,Mullen,Paula.Mullen@Training.com,,IT,active,,,,452
844,Jeff,Boggan,Jeff.Boggan@Training.com,,Accounting,active,,,,456
845,Christina,Waldrop,Christina.Waldrop@Training.com,,Human Resources,active,,,,459
846,Carlos,Adams,Carlos.Adams@Training.com,,Engineering,active,,,,465
847,Austin,Boswell,Austin.Boswell@Training.com,,IT,active,,,,468
848,Ronald,Land,Ronald.Land@Training.com,,Accounting,active,,,,472
849,Barbara,Lundmark,Barbara.Lundmark@Training.com,,Human Resources,active,,,,477
850,Earnest,Walker,Earnest.Walker@Training.com,,Production,active,,,,483
851,William,Rasche,William.Rasche@Training.com,,Engineering,active,,,,489
852,Mary,Rzeczycki,Mary.Rzeczycki@Training.com,,Accounting,active,,,,494
853,Doreen,Brinson,Doreen.Brinson@Training.com,,Human Resources,active,,,,499
854,John,Canevari,John.Canevari@Training.com,,Production,active,,,,505
855,Alan,Resnick,Alan.Resnick@Training.com,,Human Resources,active,,,,521
856,Kristy,Oneal,Kristy.Oneal@Training.com,,Production,active,,,,527
857,Ernest,Arnold,Ernest.Arnold@Training.com,,Human Resources,active,,,,543
858,John,Burton,John.Burton@Training.com,,Production,active,,,,548
859,Misty,Witherspoon,Misty.Witherspoon@Training.com,,IT,active,,,,567
860,Shawn,Wood,Shawn.Wood@Training.com,,Human Resources,active,,,,572
861,Judith,Schneider,Judith.Schneider@Training.com,,Engineering,active,,,,586
862,Sybil,Hernandez,Sybil.Hernandez@Training.com,,Accounting,active,,,,591
863,Mary,Edwards,Mary.Edwards@Training.com,,Human Resources,active,,,,596
864,Alan,Weilbacher,Alan.Weilbacher@Training.com,,Production,active,,,,602
865,Mary,Kunst,Mary.Kunst@Training.com,,Human Resources,active,,,,618
866,Micah,Rodriquez,Micah.Rodriquez@Training.com,,Production,active,,,,624
867,Patricia,Easley,Patricia.Easley@Training.com,,Human Resources,active,,,,640
868,Richard,Morgan,Richard.Morgan@Training.com,,Production,active,,,,645
869,Andrew,Cleavenger,Andrew.Cleavenger@Training.com,,Human Resources,active,,,,662
870,Jamie,Bloom,Jamie.Bloom@Training.com,,Accounting,active,,,,692
871,Amelia,Yoder,Amelia.Yoder@Training.com,,Human Resources,active,,,,697
872,Rodney,Burchfield,Rodney.Burchfield@Training.com,,Production,active,,,,702
873,Brenda,Highland,Brenda.Highland@Training.com,,Human Resources,active,,,,715
874,David,Perez,David.Perez@Training.com,,Production,active,,,,721
875,Evan,Parker,Evan.Parker@Training.com,,Human Resources,active,,,,737
876,Gary,Pease,Gary.Pease@Training.com,,Production,active,,,,742
877,Roy,Puga,Roy.Puga@Training.com,,Human Resources,active,,,,759
878,Robert,Mitchell,Robert.Mitchell@Training.com,,Marketing,active,,,,235
879,Shona,White,Shona.White@Training.com,,Sales,active,,,,236
880,Robert,Beasley,Robert.Beasley@Training.com,,Engineering,active,,,,238
881,Brian,Smith,Brian.Smith@Training.com,,Engineering,active,,,,246
882,Christopher,Reed,Christopher.Reed@Training.com,,Sales,active,,,,259
883,Dawn,Westfall,Dawn.Westfall@Training.com,,IT,active,,,,263
884,Dale,Prinz,Dale.Prinz@Training.com,,Human Resources,active,,,,272
885,Felicia,Lochen,Felicia.Lochen@Training.com,,Engineering,active,,,,278
886,Reba,Hebel,Reba.Hebel@Training.com,,Sales,active,,,,335
887,Letitia,Harrell,Letitia.Harrell@Training.com,,Production,active,,,,344
888,Evangeline,Williams,Evangeline.Williams@Training.com,,Accounting,active,,,,353
889,Roger,Brown,Roger.Brown@Training.com,,Human Resources,active,,,,358
890,Elmer,Doney,Elmer.Doney@Training.com,,IT,active,,,,367
891,Ira,Smith,Ira.Smith@Training.com,,Accounting,active,,,,371
892,David,Nickerson,David.Nickerson@Training.com,,Human Resources,active,,,,376
893,Christopher,Wright,Christopher.Wright@Training.com,,Production,active,,,,382
894,Cathleen,Heidinger,Cathleen.Heidinger@Training.com,,Engineering,active,,,,388
895,Daniel,Credi,Daniel.Credi@Training.com,,Accounting,active,,,,393
896,William,Froman,William.Froman@Training.com,,Human Resources,active,,,,398
897,Ben,Tousignant,Ben.Tousignant@Training.com,,Human Resources,active,,,,420
898,Patrick,Reyes,Patrick.Reyes@Training.com,,Human Resources,active,,,,441
899,Cynthia,Penrod,Cynthia.Penrod@Training.com,,Marketing,active,,,,442
900,Rita,Gentile,Rita.Gentile@Training.com,,Sales,active,,,,443
901,Carolyn,Hill,Carolyn.Hill@Training.com,,IT,inactive,,,,445
902,Kevin,Hernandez,Kevin.Hernandez@Training.com,,Engineering,active,,,,449
903,Jean,Garfield,Jean.Garfield@Training.com,,IT,active,,,,452
904,Peggy,Hunter,Peggy.Hunter@Training.com,,Accounting,active,,,,456
905,Matthew,Jones,Matthew.Jones@Training.com,,Human Resources,active,,,,459
906,Mark,Carlyon,Mark.Carlyon@Training.com,,Engineering,active,,,,465
907,Williams,Poucher,Williams.Poucher@Training.com,,IT,active,,,,468
908,Cesar,Tuttle,Cesar.Tuttle@Training.com,,Accounting,active,,,,472
909,Grace,Pearsall,Grace.Pearsall@Training.com,,Human Resources,active,,,,477
910,Michael,Winbush,Michael.Winbush@Training.com,,Production,active,,,,483
911,Pat,Raymond,Pat.Raymond@Training.com,,Engineering,active,,,,489
912,Dorothy,Page,Dorothy.Page@Training.com,,Accounting,active,,,,494
913,Lee,Dilliard,Lee.Dilliard@Training.com,,Human Resources,active,,,,499
914,Charles,Terry,Charles.Terry@Training.com,,Production,active,,,,505
915,Emily,Perkins,Emily.Perkins@Training.com,,Human Resources,active,,,,521
916,Lanette,Wilkes,Lanette.Wilkes@Training.com,,Production,active,,,,527
917,Hiram,Padmore,Hiram.Padmore@Training.com,,Human Resources,active,,,,543
918,Gene,Smith,Gene.Smith@Training.com,,Production,active,,,,548
919,Rebekah,Page,Rebekah.Page@Training.com,,IT,active,,,,567
920,Larry,Curtin,Larry.Curtin@Training.com,,Human Resources,active,,,,572
921,Charles,Johnson,Charles.Johnson@Training.com,,Engineering,active,,,,586
922,Andrea,Crumpton,Andrea.Crumpton@Training.com,,Accounting,active,,,,591
923,Harold,Hamburg,Harold.Hamburg@Training.com,,Human Resources,active,,,,596
924,Frederic,Kelley,Frederic.Kelley@Training.com,,Production,active,,,,602
925,Antoinette,Edwards,Antoinette.Edwards@Training.com,,Human Resources,active,,,,618
926,Mike,Boyd,Mike.Boyd@Training.com,,Production,active,,,,624
927,Tracy,Luffy,Tracy.Luffy@Training.com,,Human Resources,active,,,,640
928,Darlene,Colbert,Darlene.Colbert@Training.com,,Production,active,,,,645
929,June,Newell,June.Newell@Training.com,,Human Resources,active,,,,662
930,Michael,Prehn,Michael.Prehn@Training.com,,Accounting,active,,,,692
931,Kenneth,Hyman,Kenneth.Hyman@Training.com,,Human Resources,active,,,,697
932,Douglas,Gilley,Douglas.Gilley@Training.com,,Production,inactive,,,,702
933,Isis,Scott,Isis.Scott@Training.com,,Human Resources,active,,,,715
934,Antonia,Curley,Antonia.Curley@Training.com,,Production,active,,,,721
935,Jeffery,Smolen,Jeffery.Smolen@Training.com,,Human Resources,active,,,,737
936,Amanda,Kauffman,Amanda.Kauffman@Training.com,,Production,active,,,,742
937,Richard,Cannady,Richard.Cannady@Training.com,,Human Resources,active,,,,759
938,Henry,Smith,Henry.Smith1@Training.com,,Human Resources,active,,,,794
939,Kathleen,Orick,Kathleen.Orick@Training.com,,Production,active,,,,807
940,Kenneth,Lasure,Kenneth.Lasure@Training.com,,Human Resources,active,,,,816
941,Tammy,Crosby,Tammy.Crosby@Training.com,,Production,active,,,,821
942,Theresa,Severy,Theresa.Severy@Training.com,,Human Resources,active,,,,838
943,Marisa,Baier,Marisa.Baier@Training.com,,Production,active,,,,344
944,Peter,Martel,Peter.Martel@Training.com,,Accounting,active,,,,353
945,Cheryl,Urias,Cheryl.Urias@Training.com,,IT,active,,,,367
946,Charles,Lorenzo,Charles.Lorenzo@Training.com,,Accounting,active,,,,371
947,Joseph,Eckerson,Joseph.Eckerson@Training.com,,Production,active,,,,382
948,Stephen,Greb,Stephen.Greb@Training.com,,Accounting,inactive,,,,393
949,Michael,Somogyi,Michael.Somogyi@Training.com,,Human Resources,active,,,,398
950,Carlos,Ratliff,Carlos.Ratliff@Training.com,,Human Resources,active,,,,420
951,Lamont,Lewis,Lamont.Lewis@Training.com,,Human Resources,active,,,,441
952,Jaqueline,Forsythe,Jaqueline.Forsythe@Training.com,,Marketing,active,,,,442
953,John,Johnson,John.Johnson@Training.com,,Sales,active,,,,443
954,Eileen,Fair,Eileen.Fair@Training.com,,IT,active,,,,445
955,Jane,Meier,Jane.Meier@Training.com,,Engineering,active,,,,449
956,Steven,Blanchard,Steven.Blanchard@Training.com,,IT,active,,,,452
957,David,Wehrenberg,David.Wehrenberg@Training.com,,Human Resources,active,,,,459
958,Erin,Schwartz,Erin.Schwartz@Training.com,,Engineering,active,,,,465
959,Kevin,Buckingham,Kevin.Buckingham@Training.com,,Accounting,active,,,,472
960,Benjamin,Gullett,Benjamin.Gullett@Training.com,,Human Resources,active,,,,477
961,Howard,Spann,Howard.Spann@Training.com,,Production,active,,,,483
962,Kristin,Weathers,Kristin.Weathers@Training.com,,Engineering,active,,,,489
963,Ruth,Flores,Ruth.Flores@Training.com,,Accounting,active,,,,494
964,Rebecca,Morrison,Rebecca.Morrison@Training.com,,Human Resources,active,,,,499
965,Ossie,Waddell,Ossie.Waddell@Training.com,,Human Resources,active,,,,521
966,William,Wells,William.Wells@Training.com,,Production,active,,,,527
967,Jeanne,Peacemaker,Jeanne.Peacemaker@Training.com,,Human Resources,active,,,,543
968,Opal,Sloan,Opal.Sloan@Training.com,,Production,active,,,,548
969,Tim,Brown,Tim.Brown@Training.com,,IT,active,,,,567
970,Felipe,Saville,Felipe.Saville@Training.com,,Human Resources,active,,,,572
971,Barbara,Allison,Barbara.Allison@Training.com,,Engineering,active,,,,586
972,David,Vega,David.Vega@Training.com,,Accounting,active,,,,591
973,Leo,Chronis,Leo.Chronis@Training.com,,Human Resources,active,,,,596
974,Emma,Hyatt,Emma.Hyatt@Training.com,,Production,active,,,,602
975,Gloria,Edwards,Gloria.Edwards@Training.com,,Human Resources,active,,,,618
976,Joan,Flink,Joan.Flink@Training.com,,Production,active,,,,624
977,John,Long,John.Long@Training.com,,Human Resources,active,,,,640
978,Bertha,Luttrell,Bertha.Luttrell@Training.com,,Production,active,,,,645
979,Donald,Abrams,Donald.Abrams@Training.com,,Human Resources,active,,,,662
980,Charles,Rodriguez,Charles.Rodriguez@Training.com,,Accounting,active,,,,692
981,Eugene,Ashcraft,Eugene.Ashcraft@Training.com,,Human Resources,active,,,,697
982,Thomas,Caban,Thomas.Caban@Training.com,,Production,active,,,,702
983,Daniel,Baker,Daniel.Baker@Training.com,,Human Resources,active,,,,715
984,Rosa,Gamble,Rosa.Gamble@Training.com,,Production,active,,,,721
985,Sara,Crisp,Sara.Crisp@Training.com,,Human Resources,active,,,,737
986,Jonathan,Williams,Jonathan.Williams@Training.com,,Production,active,,,,742
987,Linda,Dunn,Linda.Dunn@Training.com,,Human Resources,active,,,,759
988,Virginia,Smith,Virginia.Smith@Training.com,,Human Resources,active,,,,794
989,Ruby,Blair,Ruby.Blair@Training.com,,Production,active,,,,807
990,Todd,Orphey,Todd.Orphey@Training.com,,Human Resources,active,,,,816
991,Kelly,Haynes,Kelly.Haynes@Training.com,,Production,active,,,,821
992,Nathan,Lozada,Nathan.Lozada@Training.com,,Human Resources,active,,,,838
993,Helen,Miller,Helen.Miller@Training.com,,Production,active,,,,887
994,Betty,Clausen,Betty.Clausen@Training.com,,Human Resources,active,,,,898
995,Robert,Mcafee,Robert.Mcafee@Training.com,,Sales,active,,,,443
996,Darrick,Pitts,Darrick.Pitts@Training.com,,Engineering,active,,,,449
997,Donald,Brasher,Donald.Brasher@Training.com,,IT,active,,,,452
998,William,Dilbeck,William.Dilbeck@Training.com,,Human Resources,active,,,,459
999,Aurora,Coleman,Aurora.Coleman@Training.com,,Accounting,active,,,,472
1000,James,Angelovich,James.Angelovich@Training.com,,Human Resources,inactive,,,,499
1001,Lola,Boardman,Lola.Boardman@Training.com,,Human Resources,active,,,,521
1002,James,Dunkley,James.Dunkley@Training.com,,Production,active,,,,602
1003,Delores,Mckenize,Delores.Mckenize@Training.com,,Human Resources,active,,,,618
1004,Ann,Perry,Ann.Perry@Training.com,,Production,active,,,,624
1005,Sherry,Church,Sherry.Church@Training.com,,Human Resources,active,,,,640
1006,Stephen,Shryock,Stephen.Shryock@Training.com,,Production,active,,,,645
1007,Andrew,Carney,Andrew.Carney@Training.com,,Accounting,active,,,,692
1008,Shirley,Brown,Shirley.Brown@Training.com,,Human Resources,active,,,,697
1009,Flora,Turner,Flora.Turner@Training.com,,Production,active,,,,702
1010,Jane,Morales,Jane.Morales@Training.com,,Human Resources,active,,,,715
1011,Cordelia,Barbour,Cordelia.Barbour@Training.com,,Production,active,,,,721
1012,Curtis,Redhead,Curtis.Redhead@Training.com,,Human Resources,active,,,,737
1013,Oscar,Corpus,Oscar.Corpus@Training.com,,Production,active,,,,742
1014,Robert,Manning,Robert.Manning@Training.com,,Human Resources,active,,,,759
1015,Lorraine,Galinis,Lorraine.Galinis@Training.com,,Human Resources,active,,,,794
1016,Kenneth,Short,Kenneth.Short@Training.com,,Production,active,,,,807
1017,Frances,Scott,Frances.Scott@Training.com,,Human Resources,active,,,,816
1018,James,Poulos,James.Poulos@Training.com,,Production,active,,,,821
1019,Angela,Kervin,Angela.Kervin@Training.com,,Human Resources,active,,,,838
1020,Emma,Petersen,Emma.Petersen@Training.com,,Production,active,,,,887
1021,George,Jacobo,George.Jacobo@Training.com,,Human Resources,active,,,,898
1022,William,Vera,William.Vera@Training.com,,Production,active,,,,943
1023,Russell,Carey,Russell.Carey@Training.com,,Human Resources,active,,,,951
1024,Jeremiah,Lumley,Jeremiah.Lumley@Training.com,,Production,active,,,,602
1025,Rodney,Popp,Rodney.Popp@Training.com,,Human Resources,active,,,,640
1026,Jennifer,Wilson,Jennifer.Wilson@Training.com,,Production,active,,,,645
1027,Elizabeth,Givens,Elizabeth.Givens@Training.com,,Human Resources,active,,,,697
1028,Charles,Carroll,Charles.Carroll@Training.com,,Human Resources,active,,,,715
1029,Mona,Carideo,Mona.Carideo@Training.com,,Human Resources,active,,,,737
1030,Keith,Tarkington,Keith.Tarkington@Training.com,,Production,active,,,,742
1031,Ashley,Servin,Ashley.Servin@Training.com,,Human Resources,active,,,,759
1032,Virginia,Kitchin,Virginia.Kitchin@Training.com,,Human Resources,active,,,,794
1033,Eunice,Hines,Eunice.Hines@Training.com,,Production,active,,,,807
1034,Leann,Farrell,Leann.Farrell@Training.com,,Human Resources,active,,,,816
1035,Louis,Day,Louis.Day@Training.com,,Production,active,,,,821
1036,Irene,Reed,Irene.Reed@Training.com,,Human Resources,active,,,,838
1037,Melvin,Mitchell,Melvin.Mitchell@Training.com,,Production,active,,,,887
1038,Bernard,Tate,Bernard.Tate@Training.com,,Human Resources,active,,,,898
1039,Lana,Lawrence,Lana.Lawrence@Training.com,,Production,active,,,,943
1040,Philip,Lonergan,Philip.Lonergan@Training.com,,Human Resources,active,,,,951
1041,Samuel,Ruiz,Samuel.Ruiz@Training.com,,Human Resources,active,,,,697
1042,Michelle,Blackburn,Michelle.Blackburn@Training.com,,Human Resources,active,,,,715
1043,Carmen,Juarez,Carmen.Juarez@Training.com,,Production,active,,,,742
1044,Loretta,Perry,Loretta.Perry@Training.com,,Human Resources,active,,,,759
1045,Anthony,Reed,Anthony.Reed@Training.com,,Human Resources,active,,,,794
1046,Nicole,Mills,Nicole.Mills@Training.com,,Production,active,,,,807
1047,Robin,Klein,Robin.Klein@Training.com,,Human Resources,active,,,,816
1048,Gloria,Bergstresser,Gloria.Bergstresser@Training.com,,Production,active,,,,821
1049,Deborah,Lehman,Deborah.Lehman@Training.com,,Human Resources,active,,,,838
1050,Randall,Gates,Randall.Gates@Training.com,,Production,active,,,,887
1051,Sandra,Beeler,Sandra.Beeler@Training.com,,Human Resources,active,,,,898
1052,Mark,Buchanan,Mark.Buchanan@Training.com,,Production,active,,,,943
1053,Harold,Snyder,Harold.Snyder@Training.com,,Human Resources,active,,,,951
1054,Leo,Gerber,Leo.Gerber@Training.com,,Human Resources,inactive,,,,794
1055,Maria,Altman,Maria.Altman@Training.com,,Production,active,,,,807
1056,Lawrence,Giorgi,Lawrence.Giorgi@Training.com,,Production,active,,,,821
1057,Marie,Thurman,Marie.Thurman@Training.com,,Human Resources,active,,,,898
1058,Barbara,Knight,Barbara.Knight@Training.com,,Production,active,,,,943
1059,Bobbie,Howard,Bobbie.Howard@Training.com,,Human Resources,active,,,,951
1060,Michael,From,Michael.From@Training.com,,Production,inactive,,,,943
